model,feature,importance
Decision Tree Classifier,numbers__total_orders,0.7651884839677114
Decision Tree Classifier,numbers__monthly_income,0.23481151603228864
Decision Tree Classifier,categories__membership_status_VIP,0.0
Decision Tree Classifier,numbers__age,0.0
Decision Tree Classifier,numbers__loyalty_points,0.0
Decision Tree Classifier,categories__city_Alor Setar,0.0
Decision Tree Classifier,categories__city_Batu Pahat,0.0
Decision Tree Classifier,categories__city_Bukit Mertajam,0.0
Decision Tree Classifier,categories__city_Butterworth,0.0
Decision Tree Classifier,categories__postcode_95672,0.0
Decision Tree Classifier,categories__postcode_92086,0.0
Decision Tree Classifier,categories__postcode_92365,0.0
Decision Tree Classifier,categories__postcode_92589,0.0
Decision Tree Classifier,categories__postcode_92893,0.0
Decision Tree Classifier,categories__postcode_93032,0.0
Decision Tree Classifier,categories__postcode_93083,0.0
Decision Tree Classifier,categories__postcode_94029,0.0
Decision Tree Classifier,categories__postcode_94041,0.0
Decision Tree Classifier,categories__postcode_94600,0.0
Decision Tree Classifier,categories__postcode_94690,0.0
Decision Tree Classifier,categories__postcode_94794,0.0
Decision Tree Classifier,categories__postcode_95137,0.0
Decision Tree Classifier,categories__postcode_95464,0.0
Decision Tree Classifier,categories__postcode_95508,0.0
Decision Tree Classifier,categories__postcode_91792,0.0
Decision Tree Classifier,categories__city_Taiping,0.0
Decision Tree Classifier,categories__city_Teluk Intan,0.0
Decision Tree Classifier,categories__city_Temerloh,0.0
Decision Tree Classifier,categories__state_Johor,0.0
Decision Tree Classifier,categories__state_Kedah,0.0
Decision Tree Classifier,categories__state_Kelantan,0.0
Decision Tree Classifier,categories__state_Negeri Sembilan,0.0
Decision Tree Classifier,categories__state_Pahang,0.0
Decision Tree Classifier,categories__state_Penang,0.0
Decision Tree Classifier,categories__state_Perak,0.0
Decision Tree Classifier,categories__state_Selangor,0.0
Decision Tree Classifier,categories__state_Terengganu,0.0
Decision Tree Classifier,categories__state_WP Kuala Lumpur,0.0
Decision Tree Classifier,categories__postcode_10119,0.0
Decision Tree Classifier,categories__postcode_10212,0.0
Decision Tree Classifier,categories__postcode_10217,0.0
Decision Tree Classifier,categories__postcode_10647,0.0
Decision Tree Classifier,categories__postcode_11033,0.0
Decision Tree Classifier,categories__postcode_11057,0.0
Decision Tree Classifier,categories__postcode_11298,0.0
Decision Tree Classifier,categories__postcode_11344,0.0
Decision Tree Classifier,categories__postcode_11389,0.0
Decision Tree Classifier,categories__postcode_11532,0.0
Decision Tree Classifier,categories__postcode_11680,0.0
Decision Tree Classifier,categories__postcode_11769,0.0
Decision Tree Classifier,categories__postcode_12336,0.0
Decision Tree Classifier,categories__postcode_12668,0.0
Decision Tree Classifier,categories__postcode_12810,0.0
Decision Tree Classifier,categories__postcode_12855,0.0
Decision Tree Classifier,categories__postcode_14052,0.0
Decision Tree Classifier,categories__postcode_14066,0.0
Decision Tree Classifier,categories__postcode_14074,0.0
Decision Tree Classifier,categories__postcode_14138,0.0
Decision Tree Classifier,categories__postcode_14363,0.0
Decision Tree Classifier,categories__postcode_14371,0.0
Decision Tree Classifier,categories__postcode_14937,0.0
Decision Tree Classifier,categories__postcode_15361,0.0
Decision Tree Classifier,categories__postcode_15371,0.0
Decision Tree Classifier,categories__postcode_15396,0.0
Decision Tree Classifier,categories__postcode_15704,0.0
Decision Tree Classifier,categories__postcode_15923,0.0
Decision Tree Classifier,categories__postcode_16070,0.0
Decision Tree Classifier,categories__postcode_16314,0.0
Decision Tree Classifier,categories__postcode_16540,0.0
Decision Tree Classifier,categories__postcode_16548,0.0
Decision Tree Classifier,categories__postcode_16963,0.0
Decision Tree Classifier,categories__postcode_17429,0.0
Decision Tree Classifier,categories__postcode_17434,0.0
Decision Tree Classifier,categories__postcode_17519,0.0
Decision Tree Classifier,categories__postcode_17799,0.0
Decision Tree Classifier,categories__postcode_17858,0.0
Decision Tree Classifier,categories__postcode_17894,0.0
Decision Tree Classifier,categories__postcode_18081,0.0
Decision Tree Classifier,categories__postcode_18301,0.0
Decision Tree Classifier,categories__postcode_18605,0.0
Decision Tree Classifier,categories__postcode_18974,0.0
Decision Tree Classifier,categories__postcode_19401,0.0
Decision Tree Classifier,categories__postcode_19680,0.0
Decision Tree Classifier,categories__postcode_19864,0.0
Decision Tree Classifier,categories__postcode_20618,0.0
Decision Tree Classifier,categories__postcode_21177,0.0
Decision Tree Classifier,categories__postcode_21229,0.0
Decision Tree Classifier,categories__postcode_21296,0.0
Decision Tree Classifier,categories__postcode_21485,0.0
Decision Tree Classifier,categories__postcode_21716,0.0
Decision Tree Classifier,categories__postcode_21873,0.0
Decision Tree Classifier,categories__postcode_22060,0.0
Decision Tree Classifier,categories__postcode_22136,0.0
Decision Tree Classifier,categories__postcode_22255,0.0
Decision Tree Classifier,categories__postcode_22312,0.0
Decision Tree Classifier,categories__postcode_22472,0.0
Decision Tree Classifier,categories__postcode_22576,0.0
Decision Tree Classifier,categories__postcode_22692,0.0
Decision Tree Classifier,categories__postcode_23037,0.0
Decision Tree Classifier,categories__postcode_23068,0.0
Decision Tree Classifier,categories__postcode_23633,0.0
Decision Tree Classifier,categories__postcode_24143,0.0
Decision Tree Classifier,categories__postcode_24213,0.0
Decision Tree Classifier,categories__postcode_24393,0.0
Decision Tree Classifier,categories__postcode_24402,0.0
Decision Tree Classifier,categories__postcode_24611,0.0
Decision Tree Classifier,categories__postcode_24687,0.0
Decision Tree Classifier,categories__postcode_24757,0.0
Decision Tree Classifier,categories__postcode_25159,0.0
Decision Tree Classifier,categories__postcode_25577,0.0
Decision Tree Classifier,categories__postcode_25895,0.0
Decision Tree Classifier,categories__postcode_26132,0.0
Decision Tree Classifier,categories__postcode_26145,0.0
Decision Tree Classifier,categories__postcode_26277,0.0
Decision Tree Classifier,categories__postcode_26324,0.0
Decision Tree Classifier,categories__postcode_26333,0.0
Decision Tree Classifier,categories__postcode_26520,0.0
Decision Tree Classifier,categories__postcode_26616,0.0
Decision Tree Classifier,categories__postcode_26746,0.0
Decision Tree Classifier,categories__postcode_26782,0.0
Decision Tree Classifier,categories__postcode_26873,0.0
Decision Tree Classifier,categories__postcode_27172,0.0
Decision Tree Classifier,categories__postcode_27202,0.0
Decision Tree Classifier,categories__postcode_27333,0.0
Decision Tree Classifier,categories__postcode_27432,0.0
Decision Tree Classifier,categories__postcode_27933,0.0
Decision Tree Classifier,categories__postcode_27985,0.0
Decision Tree Classifier,categories__postcode_28293,0.0
Decision Tree Classifier,categories__postcode_28295,0.0
Decision Tree Classifier,categories__postcode_28330,0.0
Decision Tree Classifier,categories__postcode_28374,0.0
Decision Tree Classifier,categories__postcode_28431,0.0
Decision Tree Classifier,categories__postcode_28565,0.0
Decision Tree Classifier,categories__postcode_28617,0.0
Decision Tree Classifier,categories__postcode_28745,0.0
Decision Tree Classifier,categories__postcode_28843,0.0
Decision Tree Classifier,categories__postcode_29430,0.0
Decision Tree Classifier,categories__postcode_29496,0.0
Decision Tree Classifier,categories__postcode_29498,0.0
